subject_id,ankle,arm-length,bicep,calf,chest,forearm,height,hip,leg-length,shoulder-breadth,shoulder-to-crotch,thigh,waist,wrist
-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,24.34395408630371,52.90237808227539,33.294395446777344,38.709510803222656,102.5260238647461,27.59909439086914,177.61099243164062,108.04713439941406,81.73643493652344,35.91569137573242,67.89127349853516,57.87279510498047,92.28617095947266,16.709131240844727
-5OHO2b5mRDY1rvAf07sYYtekEEX7ViEGmvRr7l4tfc,22.00178337097168,46.76323318481445,28.288970947265625,35.64996337890625,99.2533950805664,24.81337547302246,164.37962341308594,92.1286849975586,75.12725830078125,33.848777770996094,60.541385650634766,52.41831970214844,87.30789947509766,15.192037582397461
-5iHTazqnmWBsnUY6ymoCw1kORMymRDaUla1eNOjgvI,26.565006256103516,53.288597106933594,30.80095863342285,39.854949951171875,102.39127349853516,27.71979522705078,183.71884155273438,106.04412078857422,84.05552673339844,37.8564567565918,72.00437927246094,52.934085845947266,96.5964126586914,17.93659782409668
-60o95b9oEE83BDV3GpsAVPA4TFvxuPPqtXEY5PApy8,24.779565811157227,49.07775115966797,34.61311340332031,38.10426712036133,111.16407012939453,28.5504093170166,169.05911254882812,109.52946472167969,74.31023406982422,38.19779968261719,68.53671264648438,58.656673431396484,103.3951187133789,17.02985954284668
-67TrwlJ3GSsqPeHaa2Nb0iQ-BKZfIx4ERysQPZ0-SY,20.78885269165039,42.229557037353516,24.527141571044922,29.18135643005371,93.62777709960938,21.97903823852539,146.51663208007812,87.13410186767578,67.26985931396484,31.659196853637695,52.6972770690918,41.84494400024414,74.4008560180664,15.120060920715332
-9Xvu9djN0oqidP9sUUQ-DZ6A0_upIBwARnNv7KTH3o,24.674118041992188,46.94625473022461,29.940608978271484,36.81808090209961,100.15499877929688,26.143871307373047,176.6648406982422,99.81765747070312,73.94376373291016,35.744266510009766,70.81084442138672,51.81914520263672,83.86980438232422,16.372060775756836
-BdVKIwm3OGEfAEB56ar_HJqpYwmLXwhKKlyF0Gi4iU,25.466156005859375,51.1634635925293,29.09806251525879,37.15715026855469,92.7225341796875,27.15604591369629,178.9779815673828,97.8735122680664,82.30216979980469,37.239463806152344,66.81805419921875,49.03817367553711,78.92030334472656,17.399463653564453
-CQBOT5zSJk5ZYlZ4cgBP2x4lzzLLdPC6sIbhUHYddI,24.376115798950195,45.99767303466797,29.44034194946289,37.11942672729492,113.54927062988281,25.034324645996094,160.16490173339844,106.76206970214844,72.8509750366211,35.03535079956055,60.528831481933594,54.90545654296875,107.0347900390625,16.706375122070312
-ENkfo777FGDxVRXMHmkujRtZle23u0_smgNc2pQuUY,24.880470275878906,46.4306640625,29.9108829498291,39.28228759765625,94.17327880859375,25.155757904052734,162.006591796875,102.333740234375,75.34252166748047,33.09746170043945,59.270545959472656,55.3901252746582,85.31018829345703,16.6101131439209
-EujjqWPZ_L0NO_RqgxJ79mA23Tjj33cYAoFaysL4I0,22.742536544799805,45.37940216064453,32.74854278564453,37.94465255737305,122.96255493164062,26.89884376525879,155.54574584960938,114.80290985107422,68.06900787353516,35.909629821777344,59.71751022338867,57.096954345703125,112.93948364257812,16.802091598510742
-JvTra6b-sTRKwQQZ6DHxXMuRtvz2X0fkXKyrXyrcrk,24.74004364013672,50.97289276123047,30.681303024291992,35.23457717895508,95.77923583984375,27.324010848999023,174.0694122314453,96.9201431274414,81.30386352539062,35.66278076171875,65.10942077636719,50.87236785888672,82.21373748779297,17.28766632080078
